"","FileFormat","FileSize","DatasetType","SurveyNum","SurveyId","FileType","FileDateLastModified","SurveyYearLabel","SurveyType","SurveyYear","DHS_CountryCode","FileName","CountryName","URLS","Africa","avail"
"1223","Flat ASCII data (.dat)","43075","GPS Datasets","311","CI2012DHS","Geographic Data","September, 12 2013 13:49:15","2011-12","DHS","2012","CI","CIGE61FL.ZIP","Cote d'Ivoire","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=CIGE61FL.zip&Tp=2&Ctry_Code=CI&surv_id=311&dm=1&dmode=nm",1,"publicly available"
"1255","Stata dataset (.dta)","5543397","Survey Datasets","147","ET2000DHS","Births Recode","May, 17 2007 10:49:18","2000","DHS","2000","ET","ETBR41dt.zip","Ethiopia","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=ETBR41DT.zip&Tp=1&Ctry_Code=ET&surv_id=147&dm=1&dmode=nm",1,"publicly available"
"1259","Stata dataset (.dta)","6076142","Survey Datasets","248","ET2005DHS","Births Recode","August, 12 2009 14:28:08","2005","DHS","2005","ET","ETBR51dt.zip","Ethiopia","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=ETBR51DT.zip&Tp=1&Ctry_Code=ET&surv_id=248&dm=1&dmode=nm",1,"publicly available"
"1263","Stata dataset (.dta)","5635495","Survey Datasets","359","ET2011DHS","Births Recode","June, 18 2012 10:12:35","2011","DHS","2011","ET","ETBR61DT.ZIP","Ethiopia","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=ETBR61DT.zip&Tp=1&Ctry_Code=ET&surv_id=359&dm=1&dmode=nm",1,"publicly available"
"1267","Stata dataset (.dta)","6676173","Survey Datasets","478","ET2016DHS","Births Recode","September, 25 2019 09:31:36","2016","DHS","2016","ET","ETBR71DT.ZIP","Ethiopia","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=ETBR71DT.zip&Tp=1&Ctry_Code=ET&surv_id=478&dm=1&dmode=nm",1,"publicly available"
"1390","Flat ASCII data (.dat)","131354","GPS Datasets","147","ET2000DHS","Geographic Data","March, 05 2012 18:26:54","2000","DHS","2000","ET","ETGE42FL.zip","Ethiopia","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=ETGE42FL.zip&Tp=2&Ctry_Code=ET&surv_id=147&dm=1&dmode=nm",1,"publicly available"
"1391","Flat ASCII data (.dat)","62558","GPS Datasets","248","ET2005DHS","Geographic Data","April, 24 2017 10:39:28","2005","DHS","2005","ET","ETGE52FL.zip","Ethiopia","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=ETGE52FL.zip&Tp=2&Ctry_Code=ET&surv_id=248&dm=1&dmode=nm",1,"publicly available"
"1392","Flat ASCII data (.dat)","65317","GPS Datasets","359","ET2011DHS","Geographic Data","April, 06 2012 15:30:23","2011","DHS","2011","ET","ETGE61FL.ZIP","Ethiopia","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=ETGE61FL.zip&Tp=2&Ctry_Code=ET&surv_id=359&dm=1&dmode=nm",1,"publicly available"
"1393","Flat ASCII data (.dat)","121085","GPS Datasets","478","ET2016DHS","Geographic Data","September, 05 2017 11:49:15","2016","DHS","2016","ET","ETGE71FL.ZIP","Ethiopia","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=ETGE71FL.zip&Tp=2&Ctry_Code=ET&surv_id=478&dm=1&dmode=nm",1,"publicly available"
"1394","Stata dataset (.dta)","2664146","Survey Datasets","148","GA2000DHS","Births Recode","July, 26 2010 11:06:59","2000","DHS","2000","GA","GABR41DT.ZIP","Gabon","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=GABR41DT.zip&Tp=1&Ctry_Code=GA&surv_id=148&dm=1&dmode=nm",1,"publicly available"
